disease,symptoms
diabetic retinopathy,"lacrimation,abnormal movement of eyelid,spots or clouds in vision,double vision,pain in eye"
thoracic aortic aneurysm,"jaundice,shortness of breath,fatigue,dizziness,sharp chest pain"
panic disorder,"depression,dizziness"
chronic pain disorder,"back pain,shoulder pain"
vaginitis,"sharp abdominal pain,painful urination,pain during pregnancy,vaginal redness,vaginal pain,lower abdominal pain,pelvic pain,pain during intercourse"
fibromyalgia,"muscle pain,arm pain,low back pain,hip pain,leg pain"
transient ischemic attack,"depressive or psychotic symptoms,weakness,dizziness,focal weakness,disturbance of memory"
cirrhosis,"regurgitation.1,upper abdominal pain,blood in stool,regurgitation,sharp abdominal pain"
panic disorder,"dizziness,depressive or psychotic symptoms,abnormal involuntary movements,chest tightness,insomnia,shortness of breath"
pyelonephritis,"painful urination,frequent urination,back pain,sharp abdominal pain,suprapubic pain"
pyelonephritis,"low back pain,lower abdominal pain,blood in urine,sharp abdominal pain,side pain,frequent urination"
chronic pain disorder,"back pain,leg pain,knee pain,shoulder pain"
asthma,"difficulty breathing,allergic reaction,fever,coughing up sputum,sharp chest pain,chest tightness"
choledocholithiasis,"nausea,chills,vomiting,jaundice,upper abdominal pain,sharp abdominal pain,sharp chest pain"
transient ischemic attack,"loss of sensation,weakness,symptoms of the face,focal weakness"
vaginitis,"pelvic pain,vaginal pain,suprapubic pain,sharp abdominal pain,pain during intercourse"
sick sinus syndrome,"weakness,decreased heart rate,fainting,dizziness,shortness of breath"
transient ischemic attack,"paresthesia,depressive or psychotic symptoms,disturbance of memory,loss of sensation,symptoms of the face,focal weakness,difficulty speaking,dizziness"
acute pancreatitis,"lower body pain,sharp abdominal pain,side pain,diarrhea,nausea,hemoptysis"
salivary gland disorder,"cough,throat feels tight,sore throat,swollen lymph nodes"
transient ischemic attack,"depressive or psychotic symptoms,symptoms of the face,headache,disturbance of memory,focal weakness"
fibromyalgia,"sharp chest pain,low back pain,arm pain,hip pain,leg pain"
ischemia of the bowel,"constipation,vomiting,nausea,blood in stool,retention of urine,burning abdominal pain"
cellulitis or abscess of mouth,"toothache,sore throat,skin growth,difficulty in swallowing,throat swelling,abnormal appearing skin"
cellulitis or abscess of mouth,"throat swelling,abnormal appearing skin,skin growth,lip swelling,sore throat"
acute pancreatitis,"hemoptysis,nausea,sharp chest pain,lower body pain"
diabetic retinopathy,"spots or clouds in vision,itchiness of eye,symptoms of eye"
tinnitus of unknown cause,"ear pain,hoarse voice,ringing in ear,dizziness,itchy ear(s)"
fibromyalgia,"low back pain,muscle pain,ache all over,back pain,arm pain,sharp chest pain"
problem during pregnancy,"spotting or bleeding during pregnancy,lower abdominal pain,problems during pregnancy,cramps and spasms,headache,nausea,back pain"
panic disorder,"chest tightness,abnormal involuntary movements,palpitations,irregular heartbeat,dizziness,shortness of breath,depressive or psychotic symptoms"
pyelonephritis,"sharp abdominal pain,side pain,low back pain,frequent urination,nausea"
panic disorder,"depression,shortness of breath,palpitations,chest tightness,insomnia,anxiety and nervousness,breathing fast,depressive or psychotic symptoms,dizziness"
vaginitis,"painful urination,pain during pregnancy,sharp abdominal pain,lower abdominal pain,vaginal itching,suprapubic pain,vaginal redness"
chronic pain disorder,"ache all over,hip pain,headache,pelvic pain,back pain,low back pain"
panic disorder,"depressive or psychotic symptoms,depression,dizziness,abnormal involuntary movements,chest tightness,anxiety and nervousness"
glaucoma,"itchiness of eye,pain in eye,eye redness,itchy eyelid,lacrimation,diminished vision,foreign body sensation in eye"
transient ischemic attack,"dizziness,loss of sensation,disturbance of memory,paresthesia"
problem during pregnancy,"spotting or bleeding during pregnancy,pain during pregnancy,cramps and spasms,pelvic pain,headache,problems during pregnancy,vomiting"
eating disorder,"abusing alcohol,acne or pimples,insomnia,weight gain"
cirrhosis,"vomiting blood,upper abdominal pain,abdominal distention"
diabetic retinopathy,"abnormal movement of eyelid,foreign body sensation in eye,lacrimation,diminished vision"
fibromyalgia,"headache,hip pain,muscle pain,ache all over,back pain"
liver cancer,"groin mass,decreased appetite,sharp abdominal pain"
eye alignment disorder,"diminished vision,double vision,eye moves abnormally,pain in eye,eye deviation"
glaucoma,"itchy eyelid,itchiness of eye,spots or clouds in vision,eye redness,pain in eye"
eye alignment disorder,"eye moves abnormally,eye deviation,irregular appearing scalp,diminished vision"
chronic pain disorder,"headache,shoulder pain,ache all over,sharp abdominal pain,pelvic pain"
transient ischemic attack,"weakness,depressive or psychotic symptoms,headache,focal weakness,loss of sensation,disturbance of memory"
vaginitis,"pain during pregnancy,painful urination,vaginal itching,pain during intercourse"
asthma,"coughing up sputum,allergic reaction,wheezing,shortness of breath,sharp chest pain,coryza,difficulty breathing"
pyelonephritis,"nausea,suprapubic pain,sharp abdominal pain,blood in urine,lower abdominal pain,back pain,side pain"
peritonitis,"back pain,shortness of breath,nausea,groin mass,side pain,intermenstrual bleeding"
injury to the hand,"hand or finger swelling,hand or finger pain,wrist swelling,skin growth"
choledocholithiasis,"sharp abdominal pain,chills,vomiting,jaundice,decreased appetite"
pyelonephritis,"nausea,painful urination,frequent urination"
eye alignment disorder,"symptoms of eye,eye deviation,eye moves abnormally,pain in eye,lack of growth,irregular appearing scalp"
pyelonephritis,"painful urination,sharp abdominal pain,blood in urine"
acute pancreatitis,"burning abdominal pain,abusing alcohol,sharp chest pain"
injury to the abdomen,"back pain,blood in urine,leg pain"
thrombophlebitis,"lymphedema,arm swelling,arm pain,skin swelling,leg pain"
diabetic retinopathy,"spots or clouds in vision,double vision,abnormal movement of eyelid"
acute pancreatitis,"nausea,sharp abdominal pain,lower body pain,side pain"
problem during pregnancy,"problems during pregnancy,nausea,cramps and spasms,sharp abdominal pain,pelvic pain,vomiting"
injury to the knee,"knee weakness,leg pain,problems with movement,foot or toe swelling"
vaginitis,"painful urination,vaginal pain,pain during pregnancy,suprapubic pain"
asthma,"fever,wheezing,coryza,chest tightness,nasal congestion,difficulty breathing"
vaginitis,"vaginal redness,vaginal discharge,lower abdominal pain,pain during intercourse"
eye alignment disorder,diminished vision
asthma,"fever,coryza,wheezing,sharp chest pain,shortness of breath,allergic reaction,chest tightness,coughing up sputum,difficulty breathing,cough,nasal congestion"
fibromyalgia,"muscle pain,arm pain,sharp chest pain,ache all over,back pain,leg pain,low back pain"
atrophic vaginitis,"pain during intercourse,blood in urine,painful urination,vaginal itching"
asthma,"nasal congestion,coryza,coughing up sputum,allergic reaction,wheezing,difficulty breathing"
vaginitis,"suprapubic pain,vaginal itching,pelvic pain,pain during intercourse,vaginal pain"
problem during pregnancy,"vomiting,spotting or bleeding during pregnancy,back pain"
fibromyalgia,"hip pain,neck pain,headache,low back pain,leg pain"
pyelonephritis,"vomiting,back pain,sharp abdominal pain,suprapubic pain,lower abdominal pain"
acute pancreatitis,"sharp abdominal pain,lower body pain,vomiting,abusing alcohol,back pain,burning abdominal pain,sharp chest pain"
choledocholithiasis,"sharp chest pain,jaundice,sharp abdominal pain,chills"
atelectasis,"sharp chest pain,shortness of breath,dizziness"
osteochondrosis,"bowlegged or knock-kneed,ankle pain,elbow pain,hand or finger pain"
transient ischemic attack,"focal weakness,disturbance of memory,headache,depressive or psychotic symptoms,dizziness,weakness,paresthesia,loss of sensation"
pyelonephritis,"back pain,painful urination,low back pain,nausea,side pain"
acute pancreatitis,"vomiting,sharp chest pain,sharp abdominal pain,lower body pain,side pain"
glaucoma,"pain in eye,spots or clouds in vision,lacrimation"
choledocholithiasis,"jaundice,chills,sharp abdominal pain,side pain,decreased appetite,upper abdominal pain,nausea"
vaginitis,"vaginal redness,pelvic pain,suprapubic pain,sharp abdominal pain,pain during pregnancy,pain during intercourse,vaginal pain"
glaucoma,"itchiness of eye,foreign body sensation in eye,lacrimation,symptoms of eye,spots or clouds in vision"
asthma,"sharp chest pain,fever,chest tightness,allergic reaction,nasal congestion,coughing up sputum"
pyelonephritis,"painful urination,blood in urine,back pain"
fracture of the hand,"arm stiffness or tightness,wrist pain,hand or finger stiffness or tightness,hand or finger pain"
acute pancreatitis,"nausea,back pain,lower body pain,sharp chest pain,side pain,vomiting,burning abdominal pain,upper abdominal pain"
vaginitis,"vaginal discharge,pain during intercourse,pelvic pain,lower abdominal pain,painful urination,sharp abdominal pain"
peritonitis,"back pain,sharp abdominal pain"
chronic pain disorder,"headache,sharp abdominal pain"
fibromyalgia,"headache,muscle pain,back pain,hip pain,sharp chest pain,low back pain"
acute pancreatitis,"vomiting,lower body pain,upper abdominal pain,side pain,back pain,abusing alcohol,sharp chest pain"
tinnitus of unknown cause,"ear pain,itchy ear(s),headache,hoarse voice,dizziness,ringing in ear,plugged feeling in ear"
acute pancreatitis,"sharp abdominal pain,sharp chest pain,abusing alcohol,upper abdominal pain,hemoptysis,lower body pain,nausea,burning abdominal pain"
acute pancreatitis,"burning abdominal pain,back pain,vomiting,sharp chest pain,abusing alcohol,lower body pain,upper abdominal pain"
headache after lumbar puncture,"nausea,headache,dizziness,painful urination"
fibromyalgia,"headache,arm pain,ache all over"
acute pancreatitis,"diarrhea,sharp abdominal pain,sharp chest pain,lower body pain"
vaginitis,"vaginal itching,pain during intercourse,vaginal pain,lower abdominal pain,pelvic pain,sharp abdominal pain,vaginal redness"
rotator cuff injury,"shoulder pain,shoulder stiffness or tightness,hand or finger stiffness or tightness,arm pain"
pyelonephritis,"frequent urination,blood in urine,back pain,suprapubic pain,low back pain,nausea"
eating disorder,"insomnia,acne or pimples,decreased appetite,anxiety and nervousness"
sick sinus syndrome,"palpitations,irregular heartbeat,dizziness,fainting"
chronic pain disorder,"sharp abdominal pain,knee pain,back pain,leg pain,shoulder pain"
eye alignment disorder,"symptoms of eye,pain in eye,eye moves abnormally,double vision"
transient ischemic attack,"symptoms of the face,headache,loss of sensation,focal weakness,disturbance of memory"
acute pancreatitis,"diarrhea,nausea,vomiting,lower body pain,upper abdominal pain,burning abdominal pain,sharp abdominal pain"
pyelonephritis,"frequent urination,vomiting,suprapubic pain,back pain"
thrombophlebitis,"skin on leg or foot looks infected,lymphedema,skin swelling,arm swelling,foot or toe pain"
eye alignment disorder,"symptoms of eye,eye moves abnormally,irregular appearing scalp,lack of growth,double vision,diminished vision,cross-eyed"
thrombophlebitis,"skin swelling,lymphedema,skin on leg or foot looks infected,leg pain"
asthma,"coryza,wheezing,coughing up sputum,cough,fever,shortness of breath,chest tightness,sharp chest pain,nasal congestion,difficulty breathing"
glaucoma,"diminished vision,itchy eyelid,lacrimation,spots or clouds in vision,eye redness,itchiness of eye"
panic disorder,"breathing fast,insomnia,abnormal involuntary movements,dizziness,palpitations"
thrombophlebitis,"foot or toe pain,skin swelling,arm swelling,leg swelling,lymphedema"
chronic pain disorder,"back pain,headache,shoulder pain,ache all over,pelvic pain"
atrophic vaginitis,"pain during intercourse,blood in urine,frequent urination,painful urination,vaginal itching"
thoracic aortic aneurysm,"chest tightness,sharp abdominal pain,jaundice,sharp chest pain"
acute pancreatitis,"back pain,side pain,upper abdominal pain,sharp chest pain,hemoptysis"
cellulitis or abscess of mouth,"toothache,throat swelling,abnormal appearing skin,sore throat,lip swelling"
rotator cuff injury,"hand or finger stiffness or tightness,shoulder pain"
vaginitis,"suprapubic pain,vaginal redness,pain during pregnancy,pain during intercourse,vaginal itching"
vaginitis,"suprapubic pain,pain during intercourse,vaginal itching,lower abdominal pain,painful urination,vaginal redness,vaginal pain"
fibromyalgia,"low back pain,ache all over,sharp chest pain"
transient ischemic attack,"dizziness,loss of sensation,headache,disturbance of memory"
chronic pain disorder,"headache,sharp abdominal pain,knee pain,pelvic pain"
eye alignment disorder,"lack of growth,eye moves abnormally,diminished vision,double vision"
glaucoma,"lacrimation,foreign body sensation in eye,spots or clouds in vision,eye redness,diminished vision,itchiness of eye,itchy eyelid"
eating disorder,"depression,weight gain,acne or pimples,anxiety and nervousness,insomnia,abusing alcohol"
pyelonephritis,"nausea,side pain,frequent urination,painful urination,sharp abdominal pain,lower abdominal pain"
eye alignment disorder,"eye moves abnormally,eye deviation,diminished vision,irregular appearing scalp,lack of growth,cross-eyed"
